total_pop,pop_density,housing_density,County,hh_income,land_use,State,EPA_region,native_prop,Climate_Zone
17634,70.5,31.8,13017,30134,5,13,4,0.0031756833390041966,Southeast
19286,42.7,19.3,13019,32202,6,13,4,0.002903660686508348,Southeast
155547,622.8,278.9,13021,38798,4,13,4,0.0021344031064565692,Southeast
13063,60.5,24.6,13023,35661,6,13,4,9.95177218096915e-4,Southeast
18411,41.6,18.3,13025,37343,4,13,4,0.003150290587148987,Southeast
16243,32.9,15.6,13027,41309,4,13,4,0.0030166841100781874,Southeast
30233,69.3,27.2,13029,63244,3,13,4,0.0032414910858995136,Southeast
70217,104.4,42.8,13031,34327,5,13,4,0.0026062064742156457,Southeast
23316,28.2,11.9,13033,33155,3,13,4,0.002101561159718648,Southeast
23655,128.3,50.7,13035,52257,2,13,4,0.0024941872754174594,Southeast
6694,23.9,8.6,13037,30522,6,13,4,0.0014938751120406335,Southeast
50513,82.4,34.4,13039,49230,5,13,4,0.0051273929483499295,Southeast
10998,45.3,19.6,13043,35828,6,13,4,8.183306055646482e-4,Southeast
110527,221.5,89.4,13045,45559,2,13,4,0.003519502022130339,Southeast
63942,394.3,164.1,13047,46544,3,13,4,0.0033155046761127274,Southeast
